internship_title,company_name,location,start_date,duration,stipend,required_skills
Graphic Design,Mariox Software Private Limited,Work From Home,Immediately,2 Months,"₹ 10,000 /month","Teamwork, Time Management"
Talent Acquisition,Pinnacle Management Consultant,Pune,Immediately,2 Months,"₹ 5,000-10,000 /month","Teamwork, Time Management"
Content Writing,TechWhoop,Work From Home,Immediately,2 Months,"₹ 3,000 /month","Teamwork, Time Management"
Digital Marketing,ITSBHM Group,Ludhiana,Immediately,2 Months,"₹ 2,000-3,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
E-commerce Executive,REOUTLOOK,Ahmedabad,Immediately,2 Months,"₹ 10,000 /month","Teamwork, Time Management"
Data Entry,Qriocity Ventures Private Limited,Work From Home,Immediately,2 Months,"₹ 10,000-15,000 /month","Data Visualization, Excel, NumPy, Pandas, Python, SQL, Teamwork, Time Management"
Machine Learning,Qriocity Ventures Private Limited,Work From Home,Immediately,2 Months,"₹ 15,000-20,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Data Science,Qriocity Ventures Private Limited,Work From Home,Immediately,2 Months,"₹ 20,000-25,000 /month","Data Visualization, Excel, NumPy, Pandas, Python, SQL, Teamwork, Time Management"
Management Trainee,Asia Pacific Commercial International,Jaipur,Immediately,2 Months,"₹ 10,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Management Trainee,Viprom Technologies LLP,Work From Home,Immediately,2 Months,"₹ 2,000-5,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Business Development (Sales),Big Tree Resource Management Private Limited,Gurgaon,Immediately,2 Months,"₹ 10,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Digital Marketing,Adxventure LLP,Work From Home,Immediately,2 Months,"₹ 2,500 lump sum","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Full Stack Development,Filosha Infotech Private Limited,Bangalore,Immediately,2 Months,"₹ 12,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Marketing,Indo Infrastructures,Delhi,Immediately,2 Months,"₹ 10,000-15,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Marketing & Sales,Khushii,Delhi,Immediately,2 Months,"₹ 10,000 /month","Analytics, CRM, Communication, Content Creation, Digital Marketing, Lead Generation, SEO, Sales Strategy, Teamwork, Time Management"
Social Media Content Writing,Kalataru,Work From Home,Immediately,2 Months,"₹ 3,000 /month","Communication, Community Outreach, Project Management, Teamwork, Time Management"
Operations & Quality Assurance,JobBox,Work From Home,Immediately,2 Months,"₹ 1,000 /week","Teamwork, Time Management"
Business Development (Sales),Poddar Enterprises,Gandhidham,Immediately,2 Months,"₹ 9,000-12,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Law/Legal,Zen Legal LLP,Mumbai,Immediately,2 Months,"₹ 2,500 /month +  Incentives","Teamwork, Time Management"
Photoshop Editing,Airaavata Jewelry House,Bangalore,Immediately,2 Months,"₹ 10,000 /month","Teamwork, Time Management"
Human Resources (HR),Ecommerce Ventures,Hyderabad,Immediately,2 Months,"₹ 8,000-10,000 /month","Teamwork, Time Management"
Primary Research,RedSeer Management Consulting,Work From Home,Immediately,2 Months,"₹ 10,000 /month","Teamwork, Time Management"
Digital Marketing,SEGEL INDIA PRIVATE LIMITED,Delhi,Immediately,2 Months,"₹ 5,000-8,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Media Sales,PixelizeAds,Delhi,Immediately,2 Months,"₹ 6,000-10,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Finance & Accounting,Loom Solar Private Limited,Faridabad,Immediately,2 Months,"₹ 8,000 /month","Accounting Basics, Excel, Financial Analysis, Tally, Teamwork, Time Management"
Video Making/Editing,Big Faction Consultancy Private Limited,Bangalore,Immediately,2 Months,"₹ 2,500 /month","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Digital Marketing,Smiling Success Enterprises Private Limited,Delhi,Immediately,2 Months,"₹ 8,000 /month +  Incentives","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Human Resources (HR),Credit Wise Capital Private Limited,Mumbai,Immediately,2 Months,"₹ 5,000 /month","Teamwork, Time Management"
Accounting & Tally,BubbleNut Wash,Bangalore,Immediately,2 Months,"₹ 15,000-20,000 /month","Accounting Basics, Excel, Financial Analysis, Tally, Teamwork, Time Management"
Project Executive,Green Stapler,Mumbai,Immediately,2 Months,"₹ 12,000 /month","Teamwork, Time Management"
Video Making/Editing,Possible,Bangalore,Immediately,2 Months,"₹ 10,000 /month","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Fashion Design,TA Whitebrands,Gurgaon,Immediately,2 Months,"₹ 20,000-25,000 /month","Teamwork, Time Management"
Back-office Operation,WOODCRAFT EVENTS AND ENTERTAINMENT,Mumbai,Immediately,2 Months,"₹ 12,000-15,000 /month","Teamwork, Time Management"
Media & Public Relations (PR),ShopClues,Gurgaon,Immediately,2 Months,"₹ 12,000-15,000 /month","Teamwork, Time Management"
Search Engine Optimization (SEO),Shreya Goswami,Work From Home,Immediately,2 Months,"₹ 5,000 /month","Teamwork, Time Management"
Human Resources (HR),Valkyrie People Consulting,Work From Home,Immediately,2 Months,"₹ 7,000 /month","Teamwork, Time Management"
Content Writing,Whyral Media,Work From Home,Immediately,2 Months,"₹ 24,000 /month","Teamwork, Time Management"
Graphic Design,DIVINE WEB SOLUTION,Delhi,Immediately,2 Months,"₹ 10,000 /month","Teamwork, Time Management"
Company Secretary (CS),Analah Capital,Mumbai,Immediately,2 Months,"₹ 15,000-30,000 /month","Teamwork, Time Management"
Policy Research,Mumbai First,Mumbai,Immediately,2 Months,"₹ 3,000 /month","Teamwork, Time Management"
Marketing,GMN Roadshows & Events,Gurgaon,Immediately,2 Months,"₹ 18,000-20,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Sales And Marketing,Gin.ed,Bangalore,Immediately,2 Months,"₹ 15,000 /month +  Incentives","Analytics, CRM, Communication, Content Creation, Digital Marketing, Lead Generation, SEO, Sales Strategy, Teamwork, Time Management"
Content Creator,FAAST,Bangalore,Immediately,2 Months,"₹ 10,000-14,005 /month","Teamwork, Time Management"
News Writing,Chetan Yedve,Work From Home,Immediately,2 Months,"₹ 5,000 /month +  Incentives","Teamwork, Time Management"
Chartered Accountancy (CA),NurseMe Cares India Private Limited,Hyderabad,Immediately,2 Months,"₹ 10,000 /month","Teamwork, Time Management"
Graphic Design - Marketing Agency,Mediqueue,Work From Home,Immediately,2 Months,"₹ 3,000-5,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Technical Content Writing,Skuad Lab India Private Limited,Work From Home,Immediately,2 Months,"₹ 10,000 /month","Teamwork, Time Management"
Search Engine Optimization (SEO),Task Robots,Jaipur,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Mechanical Engineering,Kenmark Tech Solutions,Mumbai,Immediately,6 Months,"₹ 7,000-10,000 /month","Teamwork, Time Management"
Graphic Design,Masti Matic Fashion Ocean,Work From Home,Immediately,6 Months,"₹ 2,000-4,000 /month","Teamwork, Time Management"
Business Development (Sales),Infi Window System,Noida,Immediately,6 Months,"₹ 12,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Database Building/Management,Curated Tales Private Limited,Work From Home,Immediately,6 Months,"₹ 2,500 lump sum","Data Visualization, Excel, NumPy, Pandas, Python, SQL, Teamwork, Time Management"
Volunteering,Kshitiksha Foundation,Work From Home,Immediately,6 Months,Unpaid,"Teamwork, Time Management"
Social Media Marketing,WebxInfinity IT Solutions,Bangalore,Immediately,6 Months,"₹ 2,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Social Media Marketing,Kshitiksha Foundation,Work From Home,Immediately,6 Months,Unpaid,"Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Accounting & Tally,Puneet Arora,Delhi,Immediately,6 Months,"₹ 2,000-6,000 /month","Accounting Basics, Excel, Financial Analysis, Tally, Teamwork, Time Management"
Business Development (Sales),Mayadeep Hotels & Resorts,Work From Home,Immediately,6 Months,"₹ 10,000 /month +  Incentives","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Web Development,Lawtech,Work From Home,Immediately,6 Months,"₹ 10,000-15,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
SEO Content,Mariox Software Private Limited,Work From Home,Immediately,6 Months,"₹ 20,000 /month","Teamwork, Time Management"
Digital Marketing,Modifyed Digital,Noida,Immediately,6 Months,"₹ 5,000-10,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Research Analyst,Virtue Market Research,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
UI/UX Figma Design,EdSlash,Work From Home,Immediately,6 Months,"₹ 1,000-2,000 /month","Teamwork, Time Management"
Search Engine Optimization (SEO),Sargamstaan,Delhi,Immediately,6 Months,"₹ 2,000-8,000 /month","Teamwork, Time Management"
Social Media Marketing,Sagar Kari,Mumbai,Immediately,6 Months,"₹ 5,000-10,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Content Writing,Digital Estate,Delhi,Immediately,6 Months,"₹ 8,000 /month","Teamwork, Time Management"
Search Engine Optimization (SEO),Cyberbizz Technologies,Noida,Immediately,6 Months,"₹ 3,000-5,000 /month","Teamwork, Time Management"
Graphic Design,Techgrah Consulting,Lucknow,Immediately,6 Months,"₹ 6,000 /month","Teamwork, Time Management"
Social Media Marketing,Helpee,Chennai,Immediately,6 Months,"₹ 5,000-7,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Product Research,M Vijay Raghavan,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Recruitment,Aviation Indeed,Gurgaon,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Social Media,UnHR,Delhi,Immediately,6 Months,"₹ 10,000 /month","Communication, Community Outreach, Project Management, Teamwork, Time Management"
Human Resources (HR),Executive Search,Delhi,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
Lead Generation,Vicolo Innovations,Work From Home,Immediately,6 Months,"₹ 1,000-2,000 /month","Teamwork, Time Management"
Marketing,Blacktix Technology,Pune,Immediately,6 Months,"₹ 10,000-15,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Android App Figma Development,Anurag Pathak,Work From Home,Immediately,6 Months,"₹ 1,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Business Development (Sales),OCTIOT - IPREALM Technologies Private Limited,Noida,Immediately,6 Months,"₹ 5,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Doubt Solving (Physics),Kunduz Incorporation,Work From Home,Immediately,6 Months,"₹ 5,000-6,000 /month","Teamwork, Time Management"
Digital Marketing,Bag Factory,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
MIS,The Hiring Company,Lucknow,Immediately,6 Months,"₹ 15,000 /month","Teamwork, Time Management"
Technical And Fundamental Analysis (Capital Market),B B Advisory,Work From Home,Immediately,6 Months,"₹ 2,000-8,000 /month","Teamwork, Time Management"
Digital Marketing,Akshar School Solutions Private Limited,Hyderabad,Immediately,6 Months,"₹ 8,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Digital Marketing,Tricon Builders,Work From Home,Immediately,6 Months,"₹ 1,000 /week","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
3D Artist,3D Spot,Work From Home,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
HR Coordination,Talent500,Hyderabad,Immediately,6 Months,"₹ 25,000 /month","Teamwork, Time Management"
Graphic Design,Sukirana Studios,Bangalore,Immediately,6 Months,"₹ 5,000-6,000 /month","Teamwork, Time Management"
Sales -Workplace Wellness,YourDOST Health Solutions,Noida,Immediately,6 Months,"₹ 10,000-15,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Social Media Marketing (Dating App Start-up),Baybel,Work From Home,Immediately,6 Months,"₹ 10,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Education Enrichment,Aryabhanu,Work From Home,Immediately,2 Months,"₹ 2,000 /month +  Incentives","Teamwork, Time Management"
Video Editor & Human Resources,Chamela Helpdia Charitable Trust,Work From Home,Immediately,2 Months,Unpaid,"Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Digital Marketing,NKTech,Ghaziabad,Immediately,2 Months,"₹ 5,000-7,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Sales & Marketing,PrepCAT,Work From Home,Immediately,2 Months,"₹ 10,000 /month","Analytics, CRM, Communication, Content Creation, Digital Marketing, Lead Generation, SEO, Sales Strategy, Teamwork, Time Management"
Software Development,Low Code Systems Software Private Limited,Pune,Immediately,2 Months,"₹ 2,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
IT Recruitment,Payyapps Consulting Services Private Limited,Bangalore,Immediately,2 Months,"₹ 15,000 /month","Teamwork, Time Management"
Human Resources (HR),Eduonix Learning Solutions Private Limited,Navi Mumbai,Immediately,2 Months,"₹ 7,000 /month","Teamwork, Time Management"
Digital Marketing,ALOA,Work From Home,Immediately,2 Months,"₹ 2,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Social Media Marketing,Style Junkiie,Mumbai,Immediately,2 Months,"₹ 10,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Library Science,Scientific Impulse,Work From Home,Immediately,2 Months,Unpaid,"Teamwork, Time Management"
Business Development / Enterprise Sales,Hawktech Advance Solutions,Noida,Immediately,2 Months,"₹ 5,000-6,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Digital Marketing,Protech Planner,Noida,Immediately,2 Months,"₹ 2,000-10,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Search Engine Optimization (SEO),Tech World Digital Solution,Noida,Immediately,2 Months,"₹ 5,000 /month","Teamwork, Time Management"
Video Making/Editing,Sarayu Foundation Trust,Delhi,Immediately,2 Months,"₹ 6,000-10,000 /month","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Event Management,Dental Window,Mumbai,Immediately,2 Months,"₹ 5,000 lump sum","Teamwork, Time Management"
Assistant Photographer,Siddhant Avhad,Mumbai,Immediately,2 Months,"₹ 2,000 lump sum +  Incentives","Teamwork, Time Management"
Android App Development,HudZin,Mumbai,Immediately,2 Months,"₹ 10,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Creative Brand Associate,Destiny | Destini.ai,Hyderabad,Immediately,2 Months,"₹ 5,000 /month","Teamwork, Time Management"
Marketing,Klove Studio,South,Immediately,2 Months,"₹ 15,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Digital Marketing,United Innovation Hub,Work From Home,Immediately,2 Months,"₹ 5,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Event Management,Exemplary Food Services Private Limited,Bangalore,Immediately,2 Months,"₹ 3,000 /month +  Incentives","Teamwork, Time Management"
Theatre Assistance - Teaching And Production,Theatre & ‘U’,Delhi,Immediately,2 Months,"₹ 2,000 /month +  Incentives","Teamwork, Time Management"
Content Writing,Zealopus,Work From Home,Immediately,2 Months,"₹ 7,000 /month","Teamwork, Time Management"
Human Resource,Magpie Placement Services,Work From Home,Immediately,2 Months,"₹ 5,000-8,000 /month","Teamwork, Time Management"
Digital Marketing,Data Analytics Bhubaneswar,Work From Home,Immediately,2 Months,"₹ 4,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Mobile App Development,BnB Developers,Work From Home,Immediately,2 Months,"₹ 1,000 /month +  Incentives","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Video Making/Editing,Vani Gulati,Work From Home,Immediately,2 Months,"₹ 1,000 /month","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Social Media Marketing,Jivichem Synthesis Private Limited,Work From Home,Immediately,2 Months,"₹ 3,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Machine Learning,Jivichem Synthesis Private Limited,Work From Home,Immediately,2 Months,"₹ 22,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Research And Documentation,Global SDG 7 Hubs - An Initiative Of SELCO Foundation,Bangalore,Immediately,2 Months,"₹ 12,000 /month","Teamwork, Time Management"
Campus Ambassador,AssignInc Solution Private Limited,Jaipur,Immediately,2 Months,Performance Based,"Teamwork, Time Management"
Content Writing,Jai Bhairavi Creation,Chennai,Immediately,2 Months,"₹ 8,000 /month","Teamwork, Time Management"
Human Resources (HR),Aakar Abhinav Consultant Private Limited,Navi Mumbai,Immediately,2 Months,"₹ 10,000 /month","Teamwork, Time Management"
Mental Health Project Management,Saday,Work From Home,Immediately,2 Months,Unpaid,"Teamwork, Time Management"
Marketing,Ogni Capital Partners,Kondapur,Immediately,2 Months,"₹ 7,500-10,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Video Creation & Editing,Perky,Work From Home,Immediately,2 Months,"₹ 12,000 /month","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Operations,Redwolf,Delhi,Immediately,2 Months,"₹ 3,000 /week","Teamwork, Time Management"
Corporate Communication Design,Peoples Literature Publications OPC Private Limited,Mumbai,Immediately,2 Months,"₹ 8,000-12,000 /month","Teamwork, Time Management"
Marketing,Impala Ventures,Work From Home,Immediately,2 Months,"₹ 7,500 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Ecommerce SEO Analyst,WhiteSERP,Work From Home,Immediately,2 Months,"₹ 3,000-5,000 /month","Teamwork, Time Management"
Business Development (Sales),Kreative Machinez,Kolkata,Immediately,6 Months,"₹ 8,000 /month +  Incentives","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Climate Change Learning Design,Farhan Jamil,Work From Home,Immediately,6 Months,"₹ 4,000 /month","Teamwork, Time Management"
SEO Trainee,Avyanna Network Private Limited,Work From Home,Immediately,6 Months,"₹ 1,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Video Editing,Prisha Production,Ahmedabad,Immediately,6 Months,"₹ 10,000 /month","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Business Development (Sales),Rivotta Private Limited,Gurgaon,Immediately,6 Months,"₹ 10,000 /month +  Incentives","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Environmental Operations Management,Envirosense Compliances Private Limited,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Course Development (Full-Stack Development With Next.js 13),Selfcode Academy,Work From Home,Immediately,6 Months,"₹ 8,000-10,000 lump sum","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Online Bidder Business Development Associate,Mindfull Junkies,Work From Home,Immediately,6 Months,"₹ 7,000-12,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Ecommerce Sales Executive,Arihant Enterprises,Mumbai,Immediately,6 Months,"₹ 12,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
"SEO, SEM And WordPress",ARIRA BuildTech Private Limited,Delhi,Immediately,6 Months,"₹ 10,000-12,000 /month","Teamwork, Time Management"
French Training,Kshitiksha Foundation,Work From Home,Immediately,6 Months,Unpaid,"Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Electrical & Power Electronics,Energize Technologies,Coimbatore,Immediately,6 Months,"₹ 3,000-8,000 /month","Teamwork, Time Management"
Content Writing,Global Media Next,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Business Development (Sales),Weboin Technologies Private Limited,Chennai,Immediately,6 Months,"₹ 15,000 /month","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Finance,Goaler Web Solutions,Work From Home,Immediately,6 Months,"₹ 4,500-6,500 /month","Accounting Basics, Excel, Financial Analysis, Tally, Teamwork, Time Management"
Content Writing (Psychology),Digital Ipsum,Work From Home,Immediately,6 Months,"₹ 4,000 /month","Teamwork, Time Management"
Marketing,Marketing Czars,Work From Home,Immediately,6 Months,"₹ 15,000 /month +  Incentives","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Law/Legal,Origin Law Labs Private Limited,Chennai,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Fundraising,Kshitiksha Foundation,Work From Home,Immediately,6 Months,Unpaid,"Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Social Media Marketing,Eduminatti,Work From Home,Immediately,6 Months,"₹ 10,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Content Writing,Eduminatti,Work From Home,Immediately,6 Months,"₹ 12,000 /month","Teamwork, Time Management"
Fundraising,Willow,Work From Home,Immediately,6 Months,"₹ 30,000 /month","Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Digital Marketing,Eduminatti,Work From Home,Immediately,6 Months,"₹ 8,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Business Analytics,Smollan India Private Limited,Work From Home,Immediately,6 Months,"₹ 10,000-13,000 /month","Data Visualization, Excel, NumPy, Pandas, Python, SQL, Teamwork, Time Management"
Aerospace Engineering,Huezone Solutions Pte. Ltd.,Delhi,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
Sales,Ingenious Solutions,Work From Home,Immediately,6 Months,"₹ 2,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Software Development & Testing (QA),CrescoWorks,Coimbatore,Immediately,6 Months,"₹ 3,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Content Development (English),The Inner Journey - Yoga Lab For Athletes,Bangalore,Immediately,6 Months,"₹ 3,000 /month +  Incentives","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Graphic Design,WeirdNotion,Work From Home,Immediately,6 Months,"₹ 1,000 /month","Teamwork, Time Management"
Sales,Adtitude Digital,Work From Home,Immediately,6 Months,"₹ 16,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Account Coordination,Naarg Data Media Services,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Event Management,Victor Tango Entertainment Private Limited,Mumbai,Immediately,6 Months,"₹ 6,000 /month +  Incentives","Teamwork, Time Management"
Fashion Consultant,TrendMentor,Work From Home,Immediately,6 Months,"₹ 5,000 /month +  Incentives","Teamwork, Time Management"
Content Writing,"The Algorithm (Denver, United States)",Work From Home,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
Business Development (Sales),MM Agencyz,Delhi,Immediately,6 Months,"₹ 3,000 /month +  Incentives","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Social Media Marketing,Rover Writing Instruments,Mumbai,Immediately,6 Months,"₹ 5,000-7,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
RPA Development (UiPath Certified Professional),Lykiq Labs,Work From Home,Immediately,6 Months,"₹ 3,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Python Django Development,Cycatz,Bangalore,Immediately,6 Months,"₹ 10,000 /month","CSS, Communication, Community Outreach, Git, HTML, JavaScript, OOPs, Problem Solving, Project Management, Python, Responsive Design, Teamwork, Time Management"
Fundraising,Jankalyan Multipurpose Education Society,Work From Home,Immediately,6 Months,Unpaid,"Data Preprocessing, Machine Learning, Python, Scikit-learn, Teamwork, Time Management"
Graphic Design (Branding),Design Square Root,Work From Home,Immediately,6 Months,"₹ 6,000 /month","Teamwork, Time Management"
Audiologist,Sanskara Hearing,Mumbai,Immediately,6 Months,"₹ 30,000 /month","Teamwork, Time Management"
Quality Assurance,Quizzy,Work From Home,Immediately,6 Months,"₹ 3,000-5,000 /month","Teamwork, Time Management"
Business Development (Sales),YuppTV,Work From Home,Immediately,6 Months,"₹ 18,000 /month +  Incentives","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Business Development (Sales),TruLOCAL India Private Limited,Bangalore,Immediately,6 Months,"₹ 2,000 /month +  Incentives","CRM, CSS, Communication, Git, HTML, JavaScript, Lead Generation, Responsive Design, Sales Strategy, Teamwork, Time Management"
Video Making/Editing,The Ishtehaar,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
Quality Assurance (Content),Quizzy,Work From Home,Immediately,6 Months,"₹ 8,000-12,000 /month","Teamwork, Time Management"
Academic Content Quality Assurance,Quizzy,Work From Home,Immediately,6 Months,"₹ 8,000-12,000 /month","Teamwork, Time Management"
Flutter Development,Aha Classes,Work From Home,Immediately,6 Months,"₹ 3,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Content Writing,Organic Spice Box,Work From Home,Immediately,6 Months,₹ 500 /month +  Incentives,"Teamwork, Time Management"
"Service Engineers, Marketing, On Site Engineers",Partap Peripherals Solutions,Chandigarh,Immediately,6 Months,"₹ 2,500-10,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Human Resources (HR),ConsultAdd Inc,Pune,Immediately,6 Months,"₹ 25,000 /month","Teamwork, Time Management"
User Interfaces And Experiences (UIX),"Expertel SA - Proceedit (Barcelona, España)",Work From Home,Immediately,6 Months,"₹ 1,000 /month","Teamwork, Time Management"
Travel Sales And Operations,Velvet Triip,Delhi,Immediately,6 Months,"₹ 10,000-15,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Website And SEO Management,"Expertel SA - Proceedit (Barcelona, España)",Work From Home,Immediately,6 Months,"₹ 1,000 /month","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
